Accel3D,AccelPE,Averages,Bandwidth,DistFact,DistFactPer,FOVP,FOVR,FatSuppr,Filepath,FlipAngle,Gap,IntensityCorr,Interpolate,Norm,Np,NpValue,PartialFourier,PreNorm,ResolutionB,ResolutionP,ResolutionPPer,RespControl,ScanTime,SliceThick,TE,TI,TR
,2,2,200,0,0,100,150,None,H:\Programming\testing\AX OBL T2 TSE SM FOV.txt,160,0,NA-PURE,Off,Off,0,0 (100.0%),Off,On,320,100,0,Off,3:24,3,134,,3750
,,,1510,0,0,47.2,245,SPAIR,H:\Programming\testing\AX DWI SM FOV ZO0Mit B100 B400.txt,,0,NA-PURE,On,,0,0 (90.0%),Off,On,144,90,0,Off,5:18,4,77,,4000
